$APINumber$,$UploadKey$,$fields_changed$,$new_date$,$type_of_diff$
$4030525700000$,$ -- $,$TVD; $,$2019-02-25$,$changes within disclosure$
$4030538040000$,$ -- $,$TotalBaseWaterVolume; JobEndDate; JobStartDate; $,$2018-12-11$,$changes within disclosure$
$4030583750000$,$ -- $,$WellName; $,$2020-01-27$,$changes within disclosure$
$4030583760000$,$ -- $,$WellName; $,$2020-01-27$,$changes within disclosure$
$4030583760000$,$ -- $,$APINumber; UploadKey; PercentHighAdditive; MassIngredient; Latitude; OperatorName; TradeName; WellName; CASNumber; Purpose; CountyName; TotalBaseWaterVolume; StateNumber; JobEndDate; TVD; IngredientName; StateName; JobStartDate; TotalBaseNonWaterVolume; PercentHFJob; Longitude; CountyNumber; FederalWell; Supplier; IndianWell; $,$2020-02-03$,$changes within disclosure$
$4030583810000$,$ -- $,$WellName; $,$2020-01-27$,$changes within disclosure$
$4030583820000$,$ -- $,$WellName; $,$2020-01-27$,$changes within disclosure$
$4030583820000$,$ -- $,$APINumber; UploadKey; PercentHighAdditive; MassIngredient; Latitude; OperatorName; TradeName; WellName; CASNumber; Purpose; CountyName; TotalBaseWaterVolume; StateNumber; JobEndDate; TVD; IngredientName; StateName; JobStartDate; TotalBaseNonWaterVolume; PercentHFJob; Longitude; CountyNumber; FederalWell; Supplier; IndianWell; $,$2020-02-03$,$changes within disclosure$
$4030583900000$,$ -- $,$WellName; $,$2020-01-27$,$changes within disclosure$
$4030585160000$,$2f7c569c-1b7a-4111-9a2a-78a29a7b7685$,$$,$2019-12-23$,$disclosure removed$
$4030585190000$,$99532884-db36-42e7-a35e-289eada253bc$,$$,$2019-02-25$,$disclosure removed$
$4030596300000$,$ -- $,$TVD; $,$2018-12-11$,$changes within disclosure$
$4030598900000$,$ -- $,$APINumber; UploadKey; PercentHighAdditive; MassIngredient; Latitude; OperatorName; TradeName; WellName; CASNumber; Purpose; CountyName; TotalBaseWaterVolume; StateNumber; JobEndDate; TVD; IngredientName; StateName; JobStartDate; TotalBaseNonWaterVolume; PercentHFJob; Longitude; CountyNumber; FederalWell; Supplier; IndianWell; $,$2019-12-23$,$changes within disclosure$
$4030598900000$,$ -- $,$APINumber; UploadKey; PercentHighAdditive; MassIngredient; Latitude; OperatorName; TradeName; WellName; CASNumber; Purpose; CountyName; TotalBaseWaterVolume; StateNumber; JobEndDate; TVD; IngredientName; StateName; JobStartDate; TotalBaseNonWaterVolume; PercentHFJob; Longitude; CountyNumber; FederalWell; Supplier; IndianWell; $,$2020-02-17$,$changes within disclosure$
$4030598910000$,$ -- $,$APINumber; UploadKey; PercentHighAdditive; MassIngredient; Latitude; OperatorName; TradeName; WellName; CASNumber; Purpose; CountyName; TotalBaseWaterVolume; StateNumber; JobEndDate; TVD; IngredientName; StateName; JobStartDate; TotalBaseNonWaterVolume; PercentHFJob; Longitude; CountyNumber; FederalWell; Supplier; IndianWell; $,$2020-02-03$,$changes within disclosure$
$4030599550000$,$ -- $,$TotalBaseWaterVolume; JobEndDate; Longitude; TVD; JobStartDate; $,$2019-03-25$,$changes within disclosure$
$4030600610000$,$ -- $,$WellName; $,$2020-01-27$,$changes within disclosure$
$4030603840000$,$ -- $,$TotalBaseWaterVolume; JobEndDate; TVD; JobStartDate; Latitude; $,$2019-02-25$,$changes within disclosure$
$4030603860000$,$ -- $,$TotalBaseWaterVolume; TVD; JobEndDate; JobStartDate; $,$2019-02-25$,$changes within disclosure$
$4030603920000$,$ -- $,$TotalBaseWaterVolume; TVD; JobEndDate; JobStartDate; $,$2019-02-25$,$changes within disclosure$
$4030604020000$,$ -- $,$TVD; $,$2019-04-01$,$changes within disclosure$
$4030604080000$,$ -- $,$TotalBaseWaterVolume; TVD; JobEndDate; JobStartDate; $,$2019-02-25$,$changes within disclosure$
$4030604090000$,$ -- $,$TotalBaseWaterVolume; TVD; JobEndDate; JobStartDate; $,$2019-02-25$,$changes within disclosure$
$4030604140000$,$ -- $,$TotalBaseWaterVolume; JobEndDate; TVD; JobStartDate; Latitude; $,$2019-02-25$,$changes within disclosure$
$4030616480000$,$ -- $,$APINumber; UploadKey; PercentHighAdditive; MassIngredient; Latitude; OperatorName; TradeName; WellName; CASNumber; Purpose; CountyName; TotalBaseWaterVolume; StateNumber; JobEndDate; TVD; IngredientName; StateName; JobStartDate; TotalBaseNonWaterVolume; PercentHFJob; Longitude; CountyNumber; FederalWell; Supplier; IndianWell; $,$2020-02-03$,$changes within disclosure$
$4030621300000$,$ -- $,$TotalBaseWaterVolume; JobEndDate; TVD; CASNumber; JobStartDate; $,$2019-01-23$,$changes within disclosure$
$4030621300000$,$ -- $,$TVD; $,$2019-02-25$,$changes within disclosure$
$4030621310000$,$ -- $,$TVD; $,$2019-01-23$,$changes within disclosure$
$4030621320000$,$ -- $,$TotalBaseWaterVolume; JobEndDate; TVD; CASNumber; JobStartDate; $,$2019-01-23$,$changes within disclosure$
$4030621350000$,$ -- $,$TotalBaseWaterVolume; JobEndDate; TVD; WellName; CASNumber; JobStartDate; $,$2019-01-23$,$changes within disclosure$
$4030621360000$,$ -- $,$TVD; JobEndDate; JobStartDate; $,$2019-02-25$,$changes within disclosure$
$4030621390000$,$ -- $,$TotalBaseWaterVolume; TVD; JobEndDate; JobStartDate; $,$2018-12-11$,$changes within disclosure$
$4030621400000$,$ -- $,$JobEndDate; Longitude; TVD; WellName; CASNumber; JobStartDate; $,$2019-01-23$,$changes within disclosure$
$4030621420000$,$ -- $,$TotalBaseWaterVolume; JobEndDate; TVD; CASNumber; JobStartDate; $,$2019-01-23$,$changes within disclosure$
$4030623610000$,$ -- $,$TotalBaseWaterVolume; $,$2019-02-25$,$changes within disclosure$
$4030623620000$,$ -- $,$TotalBaseWaterVolume; $,$2019-02-25$,$changes within disclosure$
$4030623630000$,$ -- $,$TotalBaseWaterVolume; WellName; JobStartDate; $,$2019-03-25$,$changes within disclosure$
$4030623650000$,$ -- $,$TotalBaseWaterVolume; WellName; $,$2019-03-25$,$changes within disclosure$
$4030623940000$,$ -- $,$TotalBaseWaterVolume; WellName; JobStartDate; $,$2019-03-25$,$changes within disclosure$
$4030623950000$,$ -- $,$TotalBaseWaterVolume; $,$2019-02-25$,$changes within disclosure$
$4030623960000$,$ -- $,$TotalBaseWaterVolume; WellName; $,$2019-03-25$,$changes within disclosure$
$4030623970000$,$ -- $,$TotalBaseWaterVolume; $,$2019-02-25$,$changes within disclosure$
$4030624120000$,$ -- $,$TotalBaseWaterVolume; $,$2019-03-25$,$changes within disclosure$
$4030624130000$,$ -- $,$TVD; $,$2019-03-18$,$changes within disclosure$
$4030624140000$,$ -- $,$TotalBaseWaterVolume; $,$2019-03-04$,$changes within disclosure$
$4030630100000$,$ -- $,$TotalBaseWaterVolume; $,$2021-03-03$,$changes within disclosure$
$4030630110000$,$ -- $,$TotalBaseWaterVolume; $,$2021-03-12$,$changes within disclosure$
$4030630510000$,$ -- $,$CASNumber; MassIngredient; PercentHFJob; $,$2021-07-22$,$changes within disclosure$
$4030630510000$,$ -- $,$JobEndDate; JobStartDate; TotalBaseWaterVolume; $,$2021-07-27$,$changes within disclosure$
$4030630520000$,$ -- $,$TotalBaseWaterVolume; PercentHFJob; WellName; CASNumber; $,$2021-09-01$,$changes within disclosure$
$4030630810000$,$ -- $,$TVD; $,$2018-12-11$,$changes within disclosure$
$4030636970000$,$ -- $,$APINumber; UploadKey; PercentHighAdditive; MassIngredient; Latitude; OperatorName; TradeName; WellName; CASNumber; Purpose; CountyName; TotalBaseWaterVolume; StateNumber; JobEndDate; TVD; IngredientName; StateName; JobStartDate; TotalBaseNonWaterVolume; PercentHFJob; Longitude; CountyNumber; FederalWell; Supplier; IndianWell; $,$2020-01-13$,$changes within disclosure$
